# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
ji xu 	繼續	c=1 d=0.0372538 t=2227
ji xu 	記敘	c=0 d=0.00374406 t=2227
ji xu de 	記敘的	c=1 d=0.0376283 t=2227
ji xu wen 	記敘文	c=2 d=0.0752575 t=2227
jia 	加	c=2 d=0.0300468 t=2227
jia 	家	c=3 d=0.00612913 t=2227
jia bao 	家暴	c=1 d=0.00222055 t=2227
jia cu 	加粗	c=2 d=0.0105743 t=2227
jia ju 	傢俱	c=1 d=0.00188279 t=2227
jia kong 	架空	c=1 d=0.251579 t=2227
jia qiang 	加強	c=1 d=0.114178 t=2227
jia ting 	家庭	c=1 d=0.00210172 t=2227
jia xiang 	假象	c=1 d=0.970446 t=2227
jia yong 	家用	c=3 d=0.00634783 t=2227
jian dan 	簡單	c=1 d=0.00640933 t=2227
jian dan ju 	簡單句	c=1 d=0.0065062 t=2227
jian guo 	堅果	c=1 d=0.496585 t=2227
jian li 	建立	c=1 d=0.891366 t=2227
jian wei 	鍵位	c=1 d=0.70822 t=2227
jian yue 	檢閱	c=1 d=0.298197 t=2227
jian zhu 	建築	c=1 d=0.00185476 t=2227
jiang 	將	c=2 d=1.1418 t=2227
jiang sheng 	繮繩	c=4 d=0.783215 t=2227
jiao 	交	c=1 d=0.0343896 t=2227
jiao 	叫	c=3 d=0.0654453 t=2227
jiao 	腳	c=4 d=0.758418 t=2227
jiao ben 	腳本	c=1 d=0.0958472 t=2227
jiao duo 	較多	c=1 d=0.018968 t=2227
jiao hu 	交互	c=2 d=0.200017 t=2227
jiao yang 	嬌養	c=1 d=0.0169922 t=2227
jiao yang 	教養	c=1 d=0.937067 t=2227
jie chi 	劫持	c=2 d=1.68312 t=2227
jie chu 	接觸	c=3 d=0.171059 t=2227
jie gou 	結構	c=3 d=0.0553884 t=2227
jie kai 	解開	c=2 d=0.0368154 t=2227
jie ru 	介入	c=1 d=0.00146632 t=2227
jie shi 	揭示	c=1 d=0.154124 t=2227
jie shu 	結束	c=1 d=0.0320647 t=2227
jie ti 	階梯	c=1 d=0.0297478 t=2227
jie tu 	截圖	c=3 d=0.298279 t=2227
jie ya 	解壓	c=1 d=0.0858632 t=2227
jin 	金	c=1 d=0.00126207 t=2227
jin cheng 	進程	c=2 d=0.346634 t=2227
jin li 	盡力	c=2 d=0.482222 t=2227
jin tian 	今天	c=2 d=0.65322 t=2227
jin yong 	禁用	c=1 d=0.463013 t=2227
jing dian de 	經典的	c=1 d=0.185444 t=2227
jing dong 	京東	c=1 d=0.715338 t=2227
jing li 	經歷	c=3 d=0.119874 t=2227
jing ti guan 	晶體管	c=2 d=0.218871 t=2227
jing xiang 	鏡像	c=0 d=0.00258615 t=2227
jing xiang yuan 	鏡像源	c=2 d=0.0522435 t=2227
jing zi 	鏡子	c=1 d=0.0261214 t=2227
jiu 	就	c=7 d=0.419656 t=2227
jiu hui 	就會	c=1 d=0.778801 t=2227
ju 	句	c=3 d=0.025888 t=2227
ju 	據	c=1 d=0.117655 t=2227
ju ji 	聚集	c=1 d=0.628135 t=2227
ju shuo 	據說	c=1 d=0.740818 t=2227
jue 	絕	c=2 d=0.059344 t=2227
jue bi 	絕壁	c=1 d=0.826959 t=2227
jue dui 	絕對	c=1 d=0.0305009 t=2227
jun 	君	c=2 d=0.059048 t=2227
ka cha 	咔嚓	c=1 d=0.084163 t=2227
kai ming 	開明	c=2 d=0.914594 t=2227
kai shi 	開始	c=2 d=0.656494 t=2227
kan 	看	c=4 d=0.306178 t=2227
kan dao 	看到	c=2 d=0.0196785 t=2227
kan kai 	看開	c=1 d=0.479505 t=2227
kang kai 	慷慨	c=2 d=0.481909 t=2227
kao 	烤	c=3 d=0.83579 t=2227
kao dian 	考點	c=2 d=0.465174 t=2227
kao hao 	考好	c=1 d=0.299692 t=2227
kao xiang 	烤箱	c=3 d=0.808502 t=2227
ke 	可	c=3 d=0.904482 t=2227
ke du 	刻度	c=1 d=0.212248 t=2227
ke hen 	刻痕	c=1 d=0.400517 t=2227
ke xue 	科學	c=2 d=0.13748 t=2227
ke yi 	可以	c=2 d=0.0498376 t=2227
kong 	空	c=4 d=0.00606061 t=2227
kong qi 	空氣	c=1 d=0.0448245 t=2227
kong zhi 	控制	c=4 d=0.796794 t=2227
kong zhi ban 	控制板	c=1 d=0.0645703 t=2227
kong zhong 	空中	c=1 d=0.257947 t=2227
ku 	庫	c=1 d=0.205975 t=2227
kuai jie jian 	快捷鍵	c=1 d=0.985112 t=2227
kuai zhao 	快照	c=2 d=0.166235 t=2227
kuo san 	擴散	c=2 d=0.058172 t=2227
la ba 	喇叭	c=2 d=1.40945 t=2227
lai 	來	c=1 d=0.00138785 t=2227
lai dao 	來到	c=1 d=0.00139481 t=2227
lao shi 	老師	c=2 d=0.0626568 t=2227
lao yin 	烙印	c=0 d=0.000245409 t=2227
le 	了	c=30 d=2.54523 t=2227
lei 	雷	c=1 d=0.113608 t=2227
lei ming 	雷鳴	c=1 d=0.0415857 t=2227
lei sheng 	雷聲	c=1 d=0.0409665 t=2227
lei si 	類似	c=3 d=0.834153 t=2227
li 	力	c=2 d=0.102883 t=2227
li 	離	c=1 d=0.0685632 t=2227
li mian 	裏面	c=1 d=0.0349094 t=2227
li qi 	力氣	c=1 d=0.239309 t=2227
li sheng 	厲聲	c=1 d=0.0850088 t=2227
li zi 	栗子	c=1 d=0.50409 t=2227
lian ban 	聯辦	c=1 d=0.0765355 t=2227
lian bang 	聯邦	c=2 d=0.152713 t=2227
lian bang diao cha ju 	聯邦調查局	c=1 d=0.0769192 t=2227
liang ge 	兩個	c=1 d=0.156453 t=2227
lie dui 	列隊	c=1 d=0.299692 t=2227
lie huo 	烈火	c=1 d=0.38868 t=2227
ling hun 	靈魂	c=2 d=0.0437495 t=2227
ling ren 	令人	c=1 d=0.0466538 t=2227
ling ren man yi 	令人滿意	c=1 d=0.551563 t=2227
liu lian 	留戀	c=2 d=0.339825 t=2227
liu xuan qin 	六絃琴	c=1 d=0.474734 t=2227
lu 	錄	c=1 d=0.00346515 t=2227
lu suo 	盧梭	c=4 d=0.0135886 t=2227
lu you qi 	路由器	c=1 d=0.106459 t=2227
lv xing 	履行	c=1 d=0.315058 t=2227
lv xing 	旅行	c=1 d=0.313486 t=2227
lve tu 	略圖	c=1 d=0.267135 t=2227
ma 	嘛	c=1 d=0.00135358 t=2227
ma 	馬	c=1 d=0.19398 t=2227
ma ma 	媽媽	c=2 d=0.611768 t=2227
ma mu 	麻木	c=3 d=0.00925243 t=2227
ma ren 	罵人	c=1 d=0.00200924 t=2227
ma yao 	麻藥	c=1 d=0.00319873 t=2227
ma zui 	麻醉	c=2 d=0.00642986 t=2227
mai 	買	c=11 d=0.0771436 t=2227
mai 	賣	c=2 d=0.0735345 t=2227
man 	滿	c=2 d=1.32149 t=2227
man yi 	滿意	c=1 d=0.543351 t=2227
